"Result ID","Start Time ","Last Seen ","Duration ","Batch","Worker ID ","Worker Type ","MTurk Worker ID (Confirmation Code) ","State ","Message "
"513","2020/11/28 16:01:27","2020/11/28 16:21:30","00:21:30","Default","871","Personal Multiple","none(none)","FINISHED","none"
"1112","2021/09/30 10:57:27","2021/09/30 11:17:27","00:21:39","Default","2625","Personal Multiple","none(none)","FINISHED","none"
"873","2020/12/13 12:57:06","2020/12/13 13:17:06","00:21:44","ELTE-krajcsi","1986","Personal Multiple","none(none)","FINISHED","none"
"1106","2021/09/29 14:29:11","2021/09/29 14:49:12","00:21:48","Default","2619","Personal Multiple","none(none)","FINISHED","none"
"1108","2021/09/29 15:14:39","2021/09/29 15:34:39","00:21:52","Default","2621","Personal Multiple","none(none)","FINISHED","none"
"817","2020/12/10 13:56:43","2020/12/10 14:16:45","00:21:56","ELTE-krajcsi","1973","Personal Multiple","none(none)","FINISHED","none"
"778","2020/12/09 14:37:37","2020/12/09 14:57:39","00:22:01","ELTE-krajcsi","1962","Personal Multiple","none(none)","FINISHED","none"
"872","2020/12/13 12:56:40","2020/12/13 13:18:41","00:22:01 (not finished yet)","ELTE-krajcsi","1986","Personal Multiple","none(none)","DATA_RETRIEVED","none"
"524","2020/11/30 11:35:37","2020/11/30 11:57:39","00:22:14","Default","884","Personal Multiple","none(none)","FINISHED","none"
"518","2020/11/28 19:10:34","2020/11/28 19:32:38","00:22:20","Default","875","Personal Multiple","none(none)","FINISHED","none"
"1107","2021/09/29 14:51:41","2021/09/29 15:13:41","00:22:26","Default","2620","Personal Multiple","none(none)","FINISHED","none"
"1091","2021/09/28 13:12:14","2021/09/28 13:34:15","00:22:34","Default","2604","Personal Multiple","none(none)","FINISHED","none"
"734","2020/12/08 19:55:55","2020/12/08 20:17:56","00:22:55","ELTE-krajcsi","1950","Personal Multiple","none(none)","FINISHED","none"
"1097","2021/09/28 16:38:38","2021/09/28 17:00:40","00:23:01","Default","2610","Personal Multiple","none(none)","FINISHED","none"
"580","2020/12/03 16:34:18","2020/12/03 16:56:19","00:23:06","Default","907","Personal Multiple","none(none)","FINISHED","none"
"1094","2021/09/28 14:54:12","2021/09/28 15:16:13","00:23:09","Default","2607","Personal Multiple","none(none)","FINISHED","none"
"1103","2021/09/29 13:16:46","2021/09/29 13:38:47","00:23:40","Default","2616","Personal Multiple","none(none)","FINISHED","none"
"805","2020/12/09 20:32:51","2020/12/09 20:54:55","00:23:41","ELTE-krajcsi","1971","Personal Multiple","none(none)","FINISHED","none"
"553","2020/12/01 12:00:05","2020/12/01 12:22:20","00:23:46","Default","896","Personal Multiple","none(none)","FINISHED","none"
"497","2020/11/28 10:07:39","2020/11/28 10:31:41","00:24:02","Default","857","Personal Multiple","none(none)","FINISHED","none"
