"batchId","batchTitle","count_study_sequence","count_test_sequence","datetime","response","response_study_response","response_test_response","response_time","response_time_study_response","response_time_test_response","stim","studyResultId","workerId","type","tq","DTF","DTAF","DTAN","DTN_byPhase","DTN"
30,"krajcsi",61,NA,"Sat May 16 2020 18:02:11 GMT+0200 (közép-európai nyári idő)","right","right","",1421,1421,NA,"p2sarrcol1.png",514,"1761","sarrcol","study",2,10.4,10.5263157894737,11.2222222222222,12.2828282828283
30,"krajcsi",62,NA,"Sat May 16 2020 18:02:11 GMT+0200 (közép-európai nyári idő)","right","right","",1030,1030,NA,"p5sarr2.png",514,"1761","sarr","study",10,13,12.5263157894737,13.3333333333333,13.7373737373737
30,"krajcsi",63,NA,"Sat May 16 2020 18:02:11 GMT+0200 (közép-európai nyári idő)","right","right","",914,914,NA,"p10sarr2.png",514,"1761","diffarr","study",17,17.2,14.9473684210526,15.2222222222222,16.9090909090909
30,"krajcsi",64,NA,"Sat May 16 2020 18:02:11 GMT+0200 (közép-európai nyári idő)","right","right","",2887,2887,NA,"prototype1.png",514,"1761","prototype","study",0,0,0,0,0
30,"krajcsi",65,NA,"Sat May 16 2020 18:02:11 GMT+0200 (közép-európai nyári idő)","left","left","",936,936,NA,"prototype4.png",514,"1761","prototype","study",0,0,0,0,0
30,"krajcsi",66,NA,"Sat May 16 2020 18:02:11 GMT+0200 (közép-európai nyári idő)","right","right","",930,930,NA,"p2sarrshacol2.png",514,"1761","sarrshacol","study",3,9.6,9.78947368421053,10.2222222222222,11.959595959596
30,"krajcsi",67,NA,"Sat May 16 2020 18:02:11 GMT+0200 (közép-európai nyári idő)","right","right","",876,876,NA,"p1sarr2.png",514,"1761","sarr","study",8,14.2,14.3684210526316,14.7777777777778,14.6464646464646
30,"krajcsi",68,NA,"Sat May 16 2020 18:02:11 GMT+0200 (közép-európai nyári idő)","right","right","",998,998,NA,"p6sarr2.png",514,"1761","diffarr","study",12,16.2,17.6315789473684,17.8888888888889,16.4646464646465
30,"krajcsi",69,NA,"Sat May 16 2020 18:02:11 GMT+0200 (közép-európai nyári idő)","right","right","",852,852,NA,"prototype2.png",514,"1761","prototype","study",0,0,0,0,0
30,"krajcsi",70,NA,"Sat May 16 2020 18:02:11 GMT+0200 (közép-európai nyári idő)","right","right","",914,914,NA,"p1sarrshacol1.png",514,"1761","sarrshacol","study",5,13.2,13.3684210526316,13.8888888888889,14.0909090909091
30,"krajcsi",71,NA,"Sat May 16 2020 18:02:11 GMT+0200 (közép-európai nyári idő)","right","right","",1319,1319,NA,"prototype1.png",514,"1761","prototype","study",0,0,0,0,0
30,"krajcsi",72,NA,"Sat May 16 2020 18:02:11 GMT+0200 (közép-európai nyári idő)","left","left","",1549,1549,NA,"prototype5.png",514,"1761","prototype","study",0,0,0,0,0
30,"krajcsi",73,NA,"Sat May 16 2020 18:02:11 GMT+0200 (közép-európai nyári idő)","left","left","",1175,1175,NA,"prototype3.png",514,"1761","prototype","study",0,0,0,0,0
