"","cell1","cell2","cell3","cell4","cell5","cell6","cell7","cell8","cell9","count_famrecall","count_prestudy_sequence","count_study_response","count_test_response","date_startdate","date_starttime","multichar_knowresp","p2dur","plc1","plc1c","plc1s","plc1sh","plc1x","plc1y","plc2","plc2c","plc2s","plc2sh","plc2x","plc2y","plc3","plc3c","plc3s","plc3sh","plc3x","plc3y","plc4","plc4c","plc4s","plc4sh","plc4x","plc4y","plc5","plc5c","plc5s","plc5sh","plc5x","plc5y","plcundefined","plcundefineds","plcundefinedsh","plcundefinedx","plcundefinedy","response_study_response","response_test_response","response_time_study_response","response_time_test_response","rtnr","sessionid","stim","type","tq"
"7346",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,19,59,56,"25-03-23","19:46:32","d0d5vp",1638,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,"",NA,NA,"right","right",966,1362,0,1682444847894,"p1sarrshacol2.png","sarrshacol","old"
"7347",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,19,59,57,"25-03-23","19:46:32","d0d5vp",1631,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,"",NA,NA,"right","right",966,1369,0,1682444847894,"p4sarrsha2.png","sarrsha","old"
"7348",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,19,59,58,"25-03-23","19:46:32","d0d5vp",995,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,"",NA,NA,"right","right",966,2005,0,1682444847894,"p2sarrcol3.png","sarrcol","new"
"7349",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,19,59,59,"25-03-23","19:46:32","d0d5vp",1853,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,"",NA,NA,"right","right",966,1147,0,1682444847894,"p4sarrcol2.png","sarrcol","old"
"7350",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,19,59,60,"25-03-23","19:46:32","d0d5vp",2224,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,"",NA,NA,"right","right",966,776,0,1682444847894,"p4sarrcol3.png","sarrcol","new"
"7351",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,19,59,61,"25-03-23","19:46:32","d0d5vp",1056,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,"",NA,NA,"right","right",966,1944,0,1682444847894,"p2sarr2.png","sarr","old"
"7352",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,19,59,62,"25-03-23","19:46:32","d0d5vp",1378,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,"",NA,NA,"right","left",966,1622,0,1682444847894,"p7sarr3.png","diffarr","new"
"7353",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,19,59,63,"25-03-23","19:46:32","d0d5vp",1355,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,"",NA,NA,"right","down",966,1645,0,1682444847894,"p9sarr1.png","diffarr","old"
"7354",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,19,59,64,"25-03-23","19:46:32","d0d5vp",1169,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,"",NA,NA,"right","right",966,1831,0,1682444847894,"p1sarrcol3.png","sarrcol","new"
"7355",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,19,59,65,"25-03-23","19:46:32","d0d5vp",1526,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,"",NA,NA,"right","left",966,1474,0,1682444847894,"p4sarrsha4.png","sarrsha","new"
"7356",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,19,59,66,"25-03-23","19:46:32","d0d5vp",1552,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,"",NA,NA,"right","right",966,1448,0,1682444847894,"p4sarrshacol2.png","sarrshacol","old"
"7357",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,19,59,67,"25-03-23","19:46:32","d0d5vp",1410,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,"",NA,NA,"right","right",966,1590,0,1682444847894,"p3sarr4.png","sarr","new"
"7358",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,19,59,68,"25-03-23","19:46:32","d0d5vp",1918,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,"",NA,NA,"right","right",966,1082,0,1682444847894,"p2sarr1.png","sarr","old"
